ECABSD — 5-Fold Cross-Validation Summary
Splits: /kaggle/working/data/splits.csv
==================================================

Metric              Mean     ±Std
-----------------------------------
f1                0.4673   0.0077
auc_roc           0.8338   0.0057
auc_pr            0.4595   0.0162
precision         0.4069   0.0153
recall            0.5506   0.0251
accuracy          0.8516   0.0092
mcc               0.3898   0.0065

Per-fold F1 scores:
  Fold 1: 0.4657
  Fold 2: 0.4557
  Fold 3: 0.4637
  Fold 4: 0.4769
  Fold 5: 0.4745
